TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  132.00   32.14 -140.08  <-- Euler angles (deg) of phase ellipsoid axes
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
  132.00   64.28 -132.00   0.0003500
